"No","No Petak","Nama Jenis","Keliling","Diameter","Diamter (m)","Tinggi Total","Volume Tinggi Total","Tinggi Bebas Cabang","Volume Tinggi Bebas Cabang","LBDS","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33"
1,1,"Ki Haji",94,29.9363057324841,2.99363057324841,150,844.203821656051,90,506.522292993631,7.03503184713376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,"Ki Besi",310,98.7261146496815,9.87261146496815,60.3,3690.97452229299,50.6,3097.23566878981,76.5127388535032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,"Ki Besi",140.3,44.6815286624204,4.46815286624204,122,1529.59170700637,90.1,1129.64108853503,15.672046178344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,"Ki Haji",100,31.8471337579618,3.18471337579618,131,834.394904458599,92,585.987261146497,7.96178343949044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,"Ki Sapi",131,41.7197452229299,4.17197452229299,120.2,1313.8549044586,90.4,988.123821656051,13.6632165605096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,"Ki Terong",207,65.9235668789809,6.59235668789809,110.5,3015.80541401274,50.5,1378.26401273885,34.1154458598726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,"Ki Haji",110,35.031847133758,3.5031847133758,143.3,1104.41401273885,100.2,772.242038216561,9.63375796178344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,"Ki Sapi",70.4,22.4203821656051,2.24203821656051,83,262.013554140127,64,202.034547770701,3.9459872611465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,"Huru Kembang",102,32.484076433121,3.2484076433121,101,669.301910828025,90.3,598.395668789809,8.28343949044586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,"Hantap Helang",147,46.8152866242038,4.68152866242038,140.3,1931.04630573248,120,1651.64331210191,17.2046178343949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,"Pisitan Monyet",60.9,19.3949044585987,1.93949044585987,93,219.693840764331,70.2,165.833415286624,2.95287420382166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,"Ki Haji",90.6,28.8535031847134,2.88535031847134,100.3,524.393954140127,60.5,316.309414012739,6.53531847133758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,"Ki Haji",70.2,22.3566878980892,2.23566878980892,90.4,283.754659872612,70.3,220.663192356688,3.92359872611465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2,"Ki Sapi",130,41.4012738853503,4.14012738853503,120.1,1292.79617834395,80.4,865.452229299363,13.4554140127389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,"Ki Haji",69,21.9745222929936,2.19745222929936,120.4,365.111082802548,60,181.949044585987,3.7906050955414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2,"Huru Kembang",117,37.2611464968153,3.72611464968153,150,1307.86624203822,40,348.764331210191,10.8988853503185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2,"Ki Besi",180.4,57.452229299363,5.74522292993631,120.2,2491.59747261147,90.4,1873.8802955414,25.9109554140127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,"Ki Besi",189,60.1910828025478,6.01910828025478,140.3,3192.13777070064,100.2,2279.77337579618,28.4402866242038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2,"Ki Besi",190.7,60.7324840764331,6.07324840764331,149,3451.34204458599,75,1737.25270700637,28.9542117834395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,"Ki Sapi",250,79.6178343949044,7.96178343949044,149,5931.52866242038,75,2985.66878980892,49.7611464968153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2,"Ki Sapi",174,55.4140127388535,5.54140127388535,122,2352.65732484076,90,1735.56687898089,24.1050955414013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2,"Ki Haji",268,85.3503184713376,8.53503184713376,140.3,6418.41222929936,30,1372.43312101911,57.1847133757962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2,"Pisitan Monyet",70.3,22.3885350318471,2.23885350318471,93,292.748006369427,70.2,220.977527388535,3.93478503184713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2,"Ki Haji",100.5,32.0063694267516,3.20063694267516,80.6,518.522388535032,60.7,390.500111464968,8.04160031847134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2,"Ki Haji",190.4,60.6369426751592,6.06369426751592,100.4,2318.29099617834,60.5,1396.97814012739,28.8631847133758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,"Ki Haji",110.2,35.0955414012739,3.50955414012739,100.3,775.826249681529,60.5,467.970968152866,9.66882165605096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2,"Ki Sapi",150,47.7707006369427,4.77707006369427,80.2,1149.36305732484,60.5,867.03821656051,17.9140127388535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2,"Ki Haji",180.4,57.452229299363,5.74522292993631,120.2,2491.59747261147,90.4,1873.8802955414,25.9109554140127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2,"Ki Sapi",189,60.1910828025478,6.01910828025478,140.3,3192.13777070064,100.2,2279.77337579618,28.4402866242038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2,"Ki Sapi",190.7,60.7324840764331,6.07324840764331,149,3451.34204458599,75,1737.25270700637,28.9542117834395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,"Ki Haji",140.3,44.6815286624204,4.46815286624204,122,1529.59170700637,90.1,1129.64108853503,15.672046178344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2,"Pisitan Monyet",67.5,21.4968152866242,2.14968152866242,130.2,377.849522292994,90.8,263.507961783439,3.62758757961783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2,"Ki Haji",230,73.2484076433121,7.32484076433121,140.4,4730.67515923567,70.5,2375.44585987261,42.1178343949045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2,"Ki Sapi",195,62.1019108280255,6.21019108280255,113,2736.83121019108,80.5,1949.68949044586,30.2746815286624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,3,"Ki Bima",345,109.872611464968,10.9872611464968,80,6064.96815286624,70.3,5329.59076433121,94.765127388535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,3,"Ki Haji",130,41.4012738853503,4.14012738853503,80.5,866.528662420382,70.3,756.732484076433,13.4554140127389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,3,"Ki Haji",170,54.140127388535,5.4140127388535,81,1491.01910828025,70.8,1303.26114649681,23.0095541401274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,3,"Ki Haji",60,19.1082802547771,1.91082802547771,80.3,184.127388535032,60.4,138.496815286624,2.86624203821656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,3,"Huru Kembang",163,51.9108280254777,5.19108280254777,101,1709.21592356688,90.3,1528.14057324841,21.1536624203822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,3,"Hantap Helang",192,61.1464968152866,6.11464968152866,140,3287.23566878981,120.4,2827.02267515924,29.3503184713376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,"Pisitan Monyet",95,30.2547770700637,3.02547770700637,131,753.041401273886,122,701.305732484077,7.18550955414013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,3,"Hantap Helang",140,44.5859872611465,4.45859872611465,140.3,1751.51592356688,120,1498.08917197452,15.6050955414013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,3,"Ki Haji",80.7,25.7006369426752,2.57006369426752,80.6,334.33547388535,70.2,291.195412738854,5.18510350318472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,3,"Ki Haji",140.9,44.8726114649682,4.48726114649681,140.2,1772.84328789809,30.5,385.675608280255,15.806377388535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,3,"Ki Sapi",70.5,22.4522292993631,2.24522292993631,85,269.089968152866,70.5,223.186385350318,3.95720541401274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,4,"Ki Haji",150,47.7707006369427,4.77707006369427,150,2149.68152866242,110.5,1583.59872611465,17.9140127388535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,4,"Ki Haji",80.7,25.7006369426752,2.57006369426752,90.5,375.401493630573,50.7,210.307798089172,5.18510350318472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,4,"Hantap Helang",105,33.4394904458599,3.34394904458599,92,646.050955414013,69,484.53821656051,8.77786624203822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,4,"Ki Sapi",170.3,54.2356687898089,5.42356687898089,150,2770.90031847134,110.3,2037.53536751592,23.0908359872611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,4,"Pisitan Monyet",75.8,24.140127388535,2.4140127388535,90.1,329.733862420382,70.3,257.272924840764,4.57455414012739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,4,"Ki Haji",80.3,25.5732484076433,2.55732484076433,143,587.310108280255,140,574.988917197452,5.13382961783439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,4,"Ki Terong",70.3,22.3885350318471,2.23885350318471,90.3,284.248870700637,50.6,159.280098089172,3.93478503184713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,4,"Ki Haji",110,35.031847133758,3.5031847133758,100.3,773.012738853503,80.4,619.643312101911,9.63375796178344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,4,"Campaka",80.9,25.7643312101911,2.57643312101911,80,333.493503184713,65,270.96347133758,5.21083598726115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,4,"Ki Haji",100,31.8471337579618,3.18471337579618,70,445.859872611465,50.9,324.203821656051,7.96178343949044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,4,"Teureup",105,33.4394904458599,3.34394904458599,80.3,563.890127388535,70.5,495.071656050956,8.77786624203822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,4,"Ki Terong",90.5,28.8216560509554,2.88216560509554,60.9,317.698232484076,60.5,315.611544585987,6.52089968152866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,4,"Huru Kembang",135,42.9936305732484,4.29936305732484,120.3,1396.47611464968,100.2,1163.14968152866,14.5103503184713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,4,"Ki Sapi",70.6,22.484076433121,2.2484076433121,80.5,255.567503184713,79,250.805375796178,3.96843949044586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,4,"Ki Haji",90.5,28.8216560509554,2.88216560509554,70.9,369.865429936306,60.5,315.611544585987,6.52089968152866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,4,"Ki Sapi",100.3,31.9426751592357,3.19426751592357,140.4,899.641169426752,70.3,450.46135477707,8.00962579617834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,5,"Ki Haji",98.1,31.2420382165605,3.12420382165605,150,919.453184713375,90,551.671910828025,7.66210987261146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,5,"Ki Haji",140.3,44.6815286624204,4.46815286624204,60.3,756.019507643312,50.6,634.404429299363,15.672046178344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,5,"Ki Haji",100.7,32.0700636942675,3.20700636942675,131,846.117318471338,92,594.219796178344,8.07363853503185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,5,"Ki Haji",131,41.7197452229299,4.17197452229299,120.2,1313.8549044586,90.4,988.123821656051,13.6632165605096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,5,"Ki Haji",170.8,54.3949044585987,5.43949044585987,110.5,2053.23357961783,50.5,938.355617834395,23.2266242038217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,5,"Ki Haji",110,35.031847133758,3.5031847133758,143.3,1104.41401273885,100.2,772.242038216561,9.63375796178344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,5,"Ki Haji",89.6,28.5350318471338,2.85350318471338,83,424.418649681529,64,327.262573248408,6.39184713375796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,5,"Ki Haji",102,32.484076433121,3.2484076433121,101,669.301910828025,90.3,598.395668789809,8.28343949044586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,5,"Ki Haji",147,46.8152866242038,4.68152866242038,140.3,1931.04630573248,120,1651.64331210191,17.2046178343949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,5,"Ki Sapi",70.8,22.5477707006369,2.25477707006369,93,296.927082802548,70.2,224.132056050955,3.99095541401274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,5,"Ki Sapi",90.6,28.8535031847134,2.88535031847134,100.3,524.393954140127,60.5,316.309414012739,6.53531847133758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,5,"Ki Sapi",70.2,22.3566878980892,2.23566878980892,90.4,283.754659872612,70.3,220.663192356688,3.92359872611465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
